Country,Region,Market,Product,Date,Open,High,Low,Close,Currency
Nigeria,Market Average,Market Average,rice,01/02/2021,23809.17,24224.33,23394.01,23913.11,NGN
Nigeria,Market Average,Market Average,rice,01/03/2021,24225.92,26846.97,23876.27,26846.97,NGN
Nigeria,Market Average,Market Average,rice,01/04/2021,27544.25,30056,26397,30056,NGN
Nigeria,Market Average,Market Average,rice,01/05/2021,31246.66,32620.53,29872.8,29905.81,NGN
Nigeria,Market Average,Market Average,rice,01/06/2021,30409.57,31529.54,29289.59,30111.33,NGN
Nigeria,Market Average,Market Average,rice,01/07/2021,30261.76,31062.28,29461.24,30825.81,NGN
Nigeria,Market Average,Market Average,rice,01/08/2021,31295,31953.09,30636.91,30709.68,NGN
Nigeria,Market Average,Market Average,rice,01/09/2021,31099.82,31672.9,30526.75,30833.33,NGN
Nigeria,Market Average,Market Average,rice,01/10/2021,31095.43,31574.65,30616.2,31099.35,NGN
Nigeria,Market Average,Market Average,rice,01/11/2021,31460.68,31877.04,31044.31,31612.5,NGN
Nigeria,Market Average,Market Average,rice,01/12/2021,32038.33,32434.48,31642.18,32000,NGN
Nigeria,Market Average,Market Average,rice,01/01/2022,32429.35,32811.55,32000,32000,NGN
Nigeria,Market Average,Market Average,rice,01/02/2022,32318.28,32742.85,31893.71,32000,NGN
Nigeria,Market Average,Market Average,rice,01/03/2022,32276.12,32693.57,31325.81,31325.81,NGN
Nigeria,Market Average,Market Average,rice,01/04/2022,31487.56,32058.99,30916.12,31666,NGN
Nigeria,Market Average,Market Average,rice,01/05/2022,31910.77,32386.65,31434.89,31516.13,NGN
Nigeria,Market Average,Market Average,rice,01/06/2022,31831.52,32282.66,31339.33,31339.33,NGN
Nigeria,Market Average,Market Average,rice,01/07/2022,31521.91,31980.7,31063.12,31433.55,NGN
Nigeria,Market Average,Market Average,rice,01/08/2022,31678.59,32175,31269.94,32175,NGN
Nigeria,Market Average,Market Average,rice,01/09/2022,32577.71,33032.51,32122.92,32354,NGN
Nigeria,Market Average,Market Average,rice,01/10/2022,32740.01,34300.26,32316.76,34300.26,NGN
Nigeria,Market Average,Market Average,rice,01/11/2022,34917.56,36263.15,34052.9,36263.15,NGN
Nigeria,Market Average,Market Average,rice,01/12/2022,37232.77,38589.45,36291.72,38589.45,NGN
Nigeria,Market Average,Market Average,rice,01/01/2023,39565.71,41960,38573.71,41960,NGN
Nigeria,Market Average,Market Average,rice,01/02/2023,43294.33,44728.56,35225.31,35225.31,NGN
Nigeria,Market Average,Market Average,rice,01/03/2023,35329.56,37469.07,33190.05,35269.59,NGN
Nigeria,Market Average,Market Average,rice,01/04/2023,35063.88,36511.47,33616.29,35333.89,NGN
Nigeria,Market Average,Market Average,rice,01/05/2023,35864.96,36877.59,34852.33,35390.01,NGN
Nigeria,Market Average,Market Average,rice,01/06/2023,35758.25,41430.96,34990.91,41430.96,NGN
Nigeria,Market Average,Market Average,rice,01/07/2023,42580.95,46979.65,40740.75,46979.65,NGN
Nigeria,Market Average,Market Average,rice,01/08/2023,48934.68,51074.97,46637.77,46637.77,NGN
Nigeria,Market Average,Market Average,rice,01/09/2023,47544.69,49339.02,45750.36,46680.95,NGN
Nigeria,Market Average,Market Average,rice,01/10/2023,46920.36,48233.83,45606.89,47795.57,NGN
Nigeria,Market Average,Market Average,rice,01/11/2023,48614.17,49675.37,47552.98,49099.41,NGN
Nigeria,Market Average,Market Average,rice,01/12/2023,50095.88,50961.14,49230.63,50546.36,NGN
Nigeria,Market Average,Market Average,rice,01/01/2024,51558.28,52319.81,50796.76,51921.2,NGN
Nigeria,Market Average,Market Average,rice,01/02/2024,52916.63,57202.71,52212.97,57202.71,NGN
Nigeria,Market Average,Market Average,rice,01/03/2024,59118.52,62631.8,56844.11,62631.8,NGN
Nigeria,Market Average,Market Average,rice,01/04/2024,65329.07,67797.82,61721.88,61721.88,NGN
Nigeria,Market Average,Market Average,rice,01/05/2024,62944.54,68097.23,60597.06,68097.23,NGN
Nigeria,Market Average,Market Average,rice,01/06/2024,69907.29,73070.31,66744.26,69576.16,NGN
Nigeria,Market Average,Market Average,rice,01/07/2024,71998.77,74221.31,69776.23,71863.91,NGN
Nigeria,Market Average,Market Average,rice,01/08/2024,73307.12,74945.83,71668.42,72979.03,NGN
Nigeria,Market Average,Market Average,rice,01/09/2024,74628.93,75903.71,73354.16,73582.48,NGN
Nigeria,Market Average,Market Average,rice,01/10/2024,74904.79,76068.32,73741.26,73937.39,NGN
Nigeria,Market Average,Market Average,rice,01/11/2024,75288.94,76383.45,74194.43,74568.66,NGN
Nigeria,Market Average,Market Average,rice,01/12/2024,75836.5,76862.53,72104.85,72104.85,NGN
Nigeria,Market Average,Market Average,rice,01/01/2025,72912.67,74794.09,71031.25,71657.59,NGN
Nigeria,Market Average,Market Average,rice,01/02/2025,72252.55,73746.08,70759.02,71492.99,NGN
Nigeria,Market Average,Market Average,rice,01/03/2025,72586.07,73797.11,71375.02,71830.95,NGN
Nigeria,Market Average,Market Average,sorghum,01/01/2007,4197.92,4348.41,4059.67,4235.11,NGN
Nigeria,Market Average,Market Average,sorghum,01/02/2007,4241.28,4386.93,3705.56,3705.56,NGN
